k_p,k_D,Oscillations,Acceptability,Velocity,Time,Voltage,Full Track,Date
0.25,0,0,1,50,,,1,05/20/2022
1,0,1,2,50,,,1,05/20/2022
5,0,4,4,50,,,1,05/20/2022
5,1,2,7,50,,,1,05/20/2022
5,1.5,1,4,50,,,1,05/20/2022
8,1.5,1,8,50,,,1,05/20/2022
8,1.15,2,9,50,,,1,05/20/2022
8,1.15,3,5,100,,,1,05/21/2022
10,1.15,5,4,100,,,1,05/21/2022
10,1.5,3,6,100,,,1,05/21/2022
12,1.5,4,5,100,,,1,05/21/2022
12,1.75,2,7,100,,,1,5/22/2022
12,1.75,2,0,100,,,1,5/22/2022
12,1.75,2,10,100,23,,1,5/22/2022
12,1.75,3,10,100,24,,1,5/22/2022
12,1.75,2,4,100,,,1,5/22/2022
12,1.75,2,4,100,,,1,5/22/2022
12,1.75,2,5,100,,,1,5/22/2022
13,2,1,10,100,23,,1,5/22/2022
13,2,1,10,100,25,,1,5/22/2022
13,2,1,9,100,,,1,5/22/2022
13,2,1,9,100,,,1,5/22/2022
13,2,1,10,100,26,,1,5/22/2022
13,2,1,2,100,,8.9,1,5/22/2022
16,2,3,4,100,,8.9,1,5/22/2022
15,2,3,4,100,,8.9,1,5/22/2022
13,2,1,2,100,,8.9,1,5/22/2022
13,2,1,2,100,,8.9,1,5/22/2022
13,2,1,5,100,,8.9,1,5/22/2022
13,2,1,6,100,,8.8,1,5/22/2022
13,2,4,1,100,,8.7,1,5/25/2022
14,2,5,1,100,,8.7,0,5/25/2022
14,3,3,4,100,,8.7,0,5/25/2022
12,3,3,3,100,,8.7,0,5/25/2022
20,3,4,6,100,,8.7,0,5/25/2022
20,3.5,3,4,100,,8.7,0,5/25/2022
18,3,3,7,100,,8.7,0,5/25/2022
18,3,5,6,100,,9.2,0,5/25/2022
18,3.5,3,4,100,,9.2,0,5/25/2022
16,3.5,1,2,100,,9.2,0,5/25/2022
16,2.5,2,7,100,,9.2,0,5/25/2022
16,2.5,2,10,100,,9.1,0,5/25/2022
16,2.5,2,7,100,,8.9,0,5/25/2022
16,2.65,1,10,100,16,8.9,0,5/25/2022
16,2.6,2,7,100,,8.9,0,5/25/2022
16,2.5,2,7,100,,8.9,0,5/25/2022
14,2.5,1,4,100,,8.9,0,5/25/2022
18,2.5,3,10,100,14,8.9,0,5/25/2022
18,2.5,3,8,100,,8.9,0,5/25/2022
18,2.65,3,10,100,14,8.9,0,5/25/2022